0.00.393.899 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.394.005 I srv          init: The UI is disabled
0.00.394.007 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.395.483 I srv    load_model: loading model 'second-state/llm-compiler-13b-ftd-GGUF:Q4_K_M'
0.02.888.772 W llama_context: n_ctx_seq (32768) > n_ctx_train (16384) -- possible training context overflow
0.08.696.495 W srv    load_model: the slot context (32768) exceeds the training context of the model (16384) - capping
0.11.761.806 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.11.763.358 I srv  llama_server: model loaded
0.11.763.364 I srv  llama_server: listening on http://127.0.0.1:8001
0.12.002.538 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.12.002.603 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.40.425.985 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   4.33 t/s, tg_3s =   4.33 t/s
0.43.486.194 I slot print_timing: id  3 | task 0 | n_decoded =    113, tg =   4.32 t/s, tg_3s =   4.25 t/s
0.46.558.548 I slot print_timing: id  3 | task 0 | n_decoded =    126, tg =   4.31 t/s, tg_3s =   4.23 t/s
0.49.619.712 I slot print_timing: id  3 | task 0 | n_decoded =    139, tg =   4.31 t/s, tg_3s =   4.25 t/s
0.52.683.320 I slot print_timing: id  3 | task 0 | n_decoded =    152, tg =   4.30 t/s, tg_3s =   4.24 t/s
0.55.750.860 I slot print_timing: id  3 | task 0 | n_decoded =    165, tg =   4.30 t/s, tg_3s =   4.24 t/s
0.58.842.636 I slot print_timing: id  3 | task 0 | n_decoded =    178, tg =   4.29 t/s, tg_3s =   4.20 t/s
1.01.954.171 I slot print_timing: id  3 | task 0 | n_decoded =    191, tg =   4.28 t/s, tg_3s =   4.18 t/s
1.05.060.861 I slot print_timing: id  3 | task 0 | n_decoded =    204, tg =   4.28 t/s, tg_3s =   4.18 t/s
1.08.161.064 I slot print_timing: id  3 | task 0 | n_decoded =    217, tg =   4.27 t/s, tg_3s =   4.19 t/s
1.11.264.925 I slot print_timing: id  3 | task 0 | n_decoded =    230, tg =   4.27 t/s, tg_3s =   4.19 t/s
1.14.373.652 I slot print_timing: id  3 | task 0 | n_decoded =    243, tg =   4.26 t/s, tg_3s =   4.18 t/s
1.17.490.818 I slot print_timing: id  3 | task 0 | n_decoded =    256, tg =   4.26 t/s, tg_3s =   4.17 t/s
1.20.604.745 I slot print_timing: id  3 | task 0 | n_decoded =    269, tg =   4.25 t/s, tg_3s =   4.17 t/s
1.23.718.123 I slot print_timing: id  3 | task 0 | n_decoded =    282, tg =   4.25 t/s, tg_3s =   4.18 t/s
1.26.834.073 I slot print_timing: id  3 | task 0 | n_decoded =    295, tg =   4.25 t/s, tg_3s =   4.17 t/s
1.29.965.724 I slot print_timing: id  3 | task 0 | n_decoded =    308, tg =   4.24 t/s, tg_3s =   4.15 t/s
1.33.090.769 I slot print_timing: id  3 | task 0 | n_decoded =    321, tg =   4.24 t/s, tg_3s =   4.16 t/s
1.36.218.525 I slot print_timing: id  3 | task 0 | n_decoded =    334, tg =   4.23 t/s, tg_3s =   4.16 t/s
1.39.357.031 I slot print_timing: id  3 | task 0 | n_decoded =    347, tg =   4.23 t/s, tg_3s =   4.14 t/s
1.42.492.770 I slot print_timing: id  3 | task 0 | n_decoded =    360, tg =   4.23 t/s, tg_3s =   4.15 t/s
1.45.638.336 I slot print_timing: id  3 | task 0 | n_decoded =    373, tg =   4.22 t/s, tg_3s =   4.13 t/s
1.48.785.357 I slot print_timing: id  3 | task 0 | n_decoded =    386, tg =   4.22 t/s, tg_3s =   4.13 t/s
1.51.942.135 I slot print_timing: id  3 | task 0 | n_decoded =    399, tg =   4.22 t/s, tg_3s =   4.12 t/s
1.55.090.054 I slot print_timing: id  3 | task 0 | n_decoded =    412, tg =   4.22 t/s, tg_3s =   4.13 t/s
1.58.244.977 I slot print_timing: id  3 | task 0 | n_decoded =    425, tg =   4.21 t/s, tg_3s =   4.12 t/s
2.01.427.581 I slot print_timing: id  3 | task 0 | n_decoded =    438, tg =   4.21 t/s, tg_3s =   4.08 t/s
2.04.607.272 I slot print_timing: id  3 | task 0 | n_decoded =    451, tg =   4.20 t/s, tg_3s =   4.09 t/s
2.07.778.415 I slot print_timing: id  3 | task 0 | n_decoded =    464, tg =   4.20 t/s, tg_3s =   4.10 t/s
2.10.960.238 I slot print_timing: id  3 | task 0 | n_decoded =    477, tg =   4.20 t/s, tg_3s =   4.09 t/s
2.14.139.985 I slot print_timing: id  3 | task 0 | n_decoded =    490, tg =   4.20 t/s, tg_3s =   4.09 t/s
2.17.333.474 I slot print_timing: id  3 | task 0 | n_decoded =    503, tg =   4.19 t/s, tg_3s =   4.07 t/s
2.20.529.817 I slot print_timing: id  3 | task 0 | n_decoded =    516, tg =   4.19 t/s, tg_3s =   4.07 t/s
2.23.726.040 I slot print_timing: id  3 | task 0 | n_decoded =    529, tg =   4.19 t/s, tg_3s =   4.07 t/s
2.26.930.813 I slot print_timing: id  3 | task 0 | n_decoded =    542, tg =   4.18 t/s, tg_3s =   4.06 t/s
2.30.145.492 I slot print_timing: id  3 | task 0 | n_decoded =    555, tg =   4.18 t/s, tg_3s =   4.04 t/s
2.33.351.411 I slot print_timing: id  3 | task 0 | n_decoded =    568, tg =   4.18 t/s, tg_3s =   4.05 t/s
2.36.559.193 I slot print_timing: id  3 | task 0 | n_decoded =    581, tg =   4.17 t/s, tg_3s =   4.05 t/s
2.39.768.593 I slot print_timing: id  3 | task 0 | n_decoded =    594, tg =   4.17 t/s, tg_3s =   4.05 t/s
2.42.992.360 I slot print_timing: id  3 | task 0 | n_decoded =    607, tg =   4.17 t/s, tg_3s =   4.03 t/s
2.46.228.336 I slot print_timing: id  3 | task 0 | n_decoded =    620, tg =   4.16 t/s, tg_3s =   4.02 t/s
2.49.451.941 I slot print_timing: id  3 | task 0 | n_decoded =    633, tg =   4.16 t/s, tg_3s =   4.03 t/s
2.52.678.713 I slot print_timing: id  3 | task 0 | n_decoded =    646, tg =   4.16 t/s, tg_3s =   4.03 t/s
2.55.907.863 I slot print_timing: id  3 | task 0 | n_decoded =    659, tg =   4.16 t/s, tg_3s =   4.03 t/s
2.59.142.172 I slot print_timing: id  3 | task 0 | n_decoded =    672, tg =   4.15 t/s, tg_3s =   4.02 t/s
3.02.155.765 I slot print_timing: id  3 | task 0 | n_decoded =    684, tg =   4.15 t/s, tg_3s =   3.98 t/s
3.05.161.096 I slot print_timing: id  3 | task 0 | n_decoded =    696, tg =   4.15 t/s, tg_3s =   3.99 t/s
3.08.170.535 I slot print_timing: id  3 | task 0 | n_decoded =    708, tg =   4.14 t/s, tg_3s =   3.99 t/s
3.11.188.125 I slot print_timing: id  3 | task 0 | n_decoded =    720, tg =   4.14 t/s, tg_3s =   3.98 t/s
3.14.204.936 I slot print_timing: id  3 | task 0 | n_decoded =    732, tg =   4.14 t/s, tg_3s =   3.98 t/s
3.17.236.475 I slot print_timing: id  3 | task 0 | n_decoded =    744, tg =   4.14 t/s, tg_3s =   3.96 t/s
3.20.264.875 I slot print_timing: id  3 | task 0 | n_decoded =    756, tg =   4.13 t/s, tg_3s =   3.96 t/s
3.23.301.310 I slot print_timing: id  3 | task 0 | n_decoded =    768, tg =   4.13 t/s, tg_3s =   3.95 t/s
3.26.341.978 I slot print_timing: id  3 | task 0 | n_decoded =    780, tg =   4.13 t/s, tg_3s =   3.95 t/s
3.29.384.047 I slot print_timing: id  3 | task 0 | n_decoded =    792, tg =   4.12 t/s, tg_3s =   3.94 t/s
3.32.444.732 I slot print_timing: id  3 | task 0 | n_decoded =    804, tg =   4.12 t/s, tg_3s =   3.92 t/s
3.35.490.275 I slot print_timing: id  3 | task 0 | n_decoded =    816, tg =   4.12 t/s, tg_3s =   3.94 t/s
3.38.530.273 I slot print_timing: id  3 | task 0 | n_decoded =    828, tg =   4.12 t/s, tg_3s =   3.95 t/s
3.41.574.893 I slot print_timing: id  3 | task 0 | n_decoded =    840, tg =   4.11 t/s, tg_3s =   3.94 t/s
3.44.633.212 I slot print_timing: id  3 | task 0 | n_decoded =    852, tg =   4.11 t/s, tg_3s =   3.92 t/s
3.47.692.865 I slot print_timing: id  3 | task 0 | n_decoded =    864, tg =   4.11 t/s, tg_3s =   3.92 t/s
3.50.751.092 I slot print_timing: id  3 | task 0 | n_decoded =    876, tg =   4.10 t/s, tg_3s =   3.92 t/s
3.53.809.624 I slot print_timing: id  3 | task 0 | n_decoded =    888, tg =   4.10 t/s, tg_3s =   3.92 t/s
3.56.872.100 I slot print_timing: id  3 | task 0 | n_decoded =    900, tg =   4.10 t/s, tg_3s =   3.92 t/s
3.59.942.964 I slot print_timing: id  3 | task 0 | n_decoded =    912, tg =   4.10 t/s, tg_3s =   3.91 t/s
4.03.009.810 I slot print_timing: id  3 | task 0 | n_decoded =    924, tg =   4.09 t/s, tg_3s =   3.91 t/s
4.06.079.101 I slot print_timing: id  3 | task 0 | n_decoded =    936, tg =   4.09 t/s, tg_3s =   3.91 t/s
4.09.161.646 I slot print_timing: id  3 | task 0 | n_decoded =    948, tg =   4.09 t/s, tg_3s =   3.89 t/s
4.12.251.010 I slot print_timing: id  3 | task 0 | n_decoded =    960, tg =   4.09 t/s, tg_3s =   3.88 t/s
4.15.350.266 I slot print_timing: id  3 | task 0 | n_decoded =    972, tg =   4.08 t/s, tg_3s =   3.87 t/s
