0.00.514.813 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.514.943 I srv          init: The UI is disabled
0.00.514.946 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
15.41.518.568 E common_pull_file: download failed: Failed to read connection (status: -1)
15.41.518.583 W common_download_file_single_online: retrying after 2 seconds...
23.14.608.463 I srv    load_model: loading model 'second-state/llm-compiler-13b-GGUF:Q4_K_M'
23.17.122.181 W llama_context: n_ctx_seq (32768) > n_ctx_train (16384) -- possible training context overflow
23.22.755.153 W srv    load_model: the slot context (32768) exceeds the training context of the model (16384) - capping
23.25.819.532 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
23.25.821.058 I srv  llama_server: model loaded
23.25.821.063 I srv  llama_server: listening on http://127.0.0.1:8001
23.26.641.518 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
23.26.641.615 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
23.55.034.732 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   4.33 t/s, tg_3s =   4.33 t/s
23.58.080.667 I slot print_timing: id  3 | task 0 | n_decoded =    113, tg =   4.33 t/s, tg_3s =   4.27 t/s
24.01.131.114 I slot print_timing: id  3 | task 0 | n_decoded =    126, tg =   4.32 t/s, tg_3s =   4.26 t/s
24.04.186.352 I slot print_timing: id  3 | task 0 | n_decoded =    139, tg =   4.31 t/s, tg_3s =   4.25 t/s
24.07.265.286 I slot print_timing: id  3 | task 0 | n_decoded =    152, tg =   4.31 t/s, tg_3s =   4.22 t/s
24.10.357.229 I slot print_timing: id  3 | task 0 | n_decoded =    165, tg =   4.30 t/s, tg_3s =   4.20 t/s
24.13.446.079 I slot print_timing: id  3 | task 0 | n_decoded =    178, tg =   4.29 t/s, tg_3s =   4.21 t/s
24.16.544.476 I slot print_timing: id  3 | task 0 | n_decoded =    191, tg =   4.28 t/s, tg_3s =   4.20 t/s
24.19.650.154 I slot print_timing: id  3 | task 0 | n_decoded =    204, tg =   4.28 t/s, tg_3s =   4.19 t/s
24.22.751.610 I slot print_timing: id  3 | task 0 | n_decoded =    217, tg =   4.27 t/s, tg_3s =   4.19 t/s
24.25.867.730 I slot print_timing: id  3 | task 0 | n_decoded =    230, tg =   4.27 t/s, tg_3s =   4.17 t/s
24.28.978.674 I slot print_timing: id  3 | task 0 | n_decoded =    243, tg =   4.26 t/s, tg_3s =   4.18 t/s
