0.00.422.943 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.423.069 I srv          init: The UI is disabled
0.00.423.072 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
2.35.785.274 I srv    load_model: loading model 'second-state/llm-compiler-7b-GGUF:Q4_K_M'
2.37.786.809 W llama_context: n_ctx_seq (32768) > n_ctx_train (16384) -- possible training context overflow
2.43.842.761 W srv    load_model: the slot context (32768) exceeds the training context of the model (16384) - capping
2.46.572.373 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
2.46.574.434 I srv  llama_server: model loaded
2.46.574.447 I srv  llama_server: listening on http://127.0.0.1:8001
2.47.114.910 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.47.114.984 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
3.06.819.215 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   7.23 t/s, tg_3s =   7.23 t/s
3.09.836.035 I slot print_timing: id  3 | task 0 | n_decoded =    121, tg =   7.18 t/s, tg_3s =   6.96 t/s
3.12.972.470 I slot print_timing: id  3 | task 0 | n_decoded =    142, tg =   7.11 t/s, tg_3s =   6.70 t/s
3.16.029.228 I slot print_timing: id  3 | task 0 | n_decoded =    161, tg =   6.99 t/s, tg_3s =   6.22 t/s
3.19.124.192 I slot print_timing: id  3 | task 0 | n_decoded =    180, tg =   6.89 t/s, tg_3s =   6.14 t/s
3.22.202.144 I slot print_timing: id  3 | task 0 | n_decoded =    199, tg =   6.81 t/s, tg_3s =   6.17 t/s
3.25.330.738 I slot print_timing: id  3 | task 0 | n_decoded =    218, tg =   6.74 t/s, tg_3s =   6.07 t/s
3.28.383.535 I slot print_timing: id  3 | task 0 | n_decoded =    237, tg =   6.70 t/s, tg_3s =   6.22 t/s
3.31.486.742 I slot print_timing: id  3 | task 0 | n_decoded =    257, tg =   6.68 t/s, tg_3s =   6.44 t/s
3.34.562.366 I slot print_timing: id  3 | task 0 | n_decoded =    277, tg =   6.66 t/s, tg_3s =   6.50 t/s
3.37.708.665 I slot print_timing: id  3 | task 0 | n_decoded =    298, tg =   6.66 t/s, tg_3s =   6.67 t/s
3.40.716.589 I slot print_timing: id  3 | task 0 | n_decoded =    318, tg =   6.66 t/s, tg_3s =   6.65 t/s
3.43.730.726 I slot print_timing: id  3 | task 0 | n_decoded =    338, tg =   6.66 t/s, tg_3s =   6.64 t/s
3.46.867.189 I slot print_timing: id  3 | task 0 | n_decoded =    359, tg =   6.66 t/s, tg_3s =   6.70 t/s
3.49.885.624 I slot print_timing: id  3 | task 0 | n_decoded =    379, tg =   6.66 t/s, tg_3s =   6.63 t/s
3.52.984.593 I slot print_timing: id  3 | task 0 | n_decoded =    399, tg =   6.65 t/s, tg_3s =   6.45 t/s
3.56.132.414 I slot print_timing: id  3 | task 0 | n_decoded =    419, tg =   6.64 t/s, tg_3s =   6.35 t/s
3.59.201.272 I slot print_timing: id  3 | task 0 | n_decoded =    438, tg =   6.62 t/s, tg_3s =   6.19 t/s
4.02.299.432 I slot print_timing: id  3 | task 0 | n_decoded =    457, tg =   6.59 t/s, tg_3s =   6.13 t/s
4.05.400.693 I slot print_timing: id  3 | task 0 | n_decoded =    476, tg =   6.57 t/s, tg_3s =   6.13 t/s
4.08.521.716 I slot print_timing: id  3 | task 0 | n_decoded =    495, tg =   6.55 t/s, tg_3s =   6.09 t/s
4.11.646.173 I slot print_timing: id  3 | task 0 | n_decoded =    514, tg =   6.53 t/s, tg_3s =   6.08 t/s
4.14.772.531 I slot print_timing: id  3 | task 0 | n_decoded =    533, tg =   6.52 t/s, tg_3s =   6.08 t/s
4.17.871.758 I slot print_timing: id  3 | task 0 | n_decoded =    552, tg =   6.50 t/s, tg_3s =   6.13 t/s
4.20.999.604 I slot print_timing: id  3 | task 0 | n_decoded =    572, tg =   6.50 t/s, tg_3s =   6.39 t/s
4.24.134.363 I slot print_timing: id  3 | task 0 | n_decoded =    592, tg =   6.50 t/s, tg_3s =   6.38 t/s
4.27.288.617 I slot print_timing: id  3 | task 0 | n_decoded =    612, tg =   6.49 t/s, tg_3s =   6.34 t/s
4.30.303.965 I slot print_timing: id  3 | task 0 | n_decoded =    631, tg =   6.48 t/s, tg_3s =   6.30 t/s
4.33.307.263 I slot print_timing: id  3 | task 0 | n_decoded =    650, tg =   6.48 t/s, tg_3s =   6.33 t/s
4.36.313.451 I slot print_timing: id  3 | task 0 | n_decoded =    669, tg =   6.47 t/s, tg_3s =   6.32 t/s
4.39.390.592 I slot print_timing: id  3 | task 0 | n_decoded =    688, tg =   6.47 t/s, tg_3s =   6.17 t/s
4.42.413.870 I slot print_timing: id  3 | task 0 | n_decoded =    706, tg =   6.45 t/s, tg_3s =   5.95 t/s
4.45.435.920 I slot print_timing: id  3 | task 0 | n_decoded =    724, tg =   6.44 t/s, tg_3s =   5.96 t/s
4.48.454.338 I slot print_timing: id  3 | task 0 | n_decoded =    742, tg =   6.43 t/s, tg_3s =   5.96 t/s
4.51.480.255 I slot print_timing: id  3 | task 0 | n_decoded =    760, tg =   6.41 t/s, tg_3s =   5.95 t/s
4.54.565.993 I slot print_timing: id  3 | task 0 | n_decoded =    778, tg =   6.40 t/s, tg_3s =   5.83 t/s
4.57.601.098 I slot print_timing: id  3 | task 0 | n_decoded =    796, tg =   6.39 t/s, tg_3s =   5.93 t/s
5.00.667.895 I slot print_timing: id  3 | task 0 | n_decoded =    814, tg =   6.38 t/s, tg_3s =   5.87 t/s
5.03.732.183 I slot print_timing: id  3 | task 0 | n_decoded =    832, tg =   6.36 t/s, tg_3s =   5.87 t/s
5.06.832.536 I slot print_timing: id  3 | task 0 | n_decoded =    850, tg =   6.35 t/s, tg_3s =   5.81 t/s
5.09.884.880 I slot print_timing: id  3 | task 0 | n_decoded =    867, tg =   6.33 t/s, tg_3s =   5.57 t/s
5.12.997.721 I slot print_timing: id  3 | task 0 | n_decoded =    885, tg =   6.32 t/s, tg_3s =   5.78 t/s
5.16.015.732 I slot print_timing: id  3 | task 0 | n_decoded =    902, tg =   6.31 t/s, tg_3s =   5.63 t/s
5.19.164.682 I slot print_timing: id  3 | task 0 | n_decoded =    918, tg =   6.28 t/s, tg_3s =   5.08 t/s
5.22.241.841 I slot print_timing: id  3 | task 0 | n_decoded =    934, tg =   6.26 t/s, tg_3s =   5.20 t/s
5.25.415.187 I slot print_timing: id  3 | task 0 | n_decoded =    950, tg =   6.23 t/s, tg_3s =   5.04 t/s
5.28.428.809 I slot print_timing: id  3 | task 0 | n_decoded =    967, tg =   6.22 t/s, tg_3s =   5.64 t/s
5.31.448.185 I slot print_timing: id  3 | task 0 | n_decoded =    984, tg =   6.21 t/s, tg_3s =   5.63 t/s
5.34.527.038 I slot print_timing: id  3 | task 0 | n_decoded =   1001, tg =   6.20 t/s, tg_3s =   5.52 t/s
5.37.680.258 I slot print_timing: id  3 | task 0 | n_decoded =   1018, tg =   6.18 t/s, tg_3s =   5.39 t/s
