0.00.327.515 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.327.641 I srv          init: The UI is disabled
0.00.327.644 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.329.075 I srv    load_model: loading model 'Qwen/Qwen2.5-Coder-14B-Instruct-GGUF:Q4_K_M'
0.00.575.847 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.05.392.166 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.05.395.227 I srv  llama_server: model loaded
0.05.395.238 I srv  llama_server: listening on http://127.0.0.1:8001
0.06.006.450 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.06.006.494 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.12.366.989 I slot print_timing: id  3 | task 0 | prompt eval time =    2846.57 ms /    54 tokens (   52.71 ms per token,    18.97 tokens per second)
0.12.366.997 I slot print_timing: id  3 | task 0 |        eval time =    3513.84 ms /    15 tokens (  234.26 ms per token,     4.27 tokens per second)
0.12.366.998 I slot print_timing: id  3 | task 0 |       total time =    6360.41 ms /    69 tokens
0.12.367.001 I slot print_timing: id  3 | task 0 |    graphs reused =         14
0.12.367.035 I slot      release: id  3 | task 0 | stop processing: n_tokens = 68, truncated = 0
0.12.419.037 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.12.419.070 I slot launch_slot_: id  2 | task 17 | processing task, is_child = 0
1.47.729.790 I slot print_timing: id  2 | task 17 | prompt processing, n_tokens =   2070, progress = 0.75, t =  95.31 s / 21.72 tokens per second
2.51.865.948 I slot print_timing: id  2 | task 17 | n_decoded =    100, tg =   3.45 t/s, tg_3s =   3.45 t/s
2.53.041.891 I slot print_timing: id  2 | task 17 | prompt eval time =  130473.79 ms /  2754 tokens (   47.38 ms per token,    21.11 tokens per second)
2.53.041.895 I slot print_timing: id  2 | task 17 |        eval time =   30146.02 ms /   104 tokens (  289.87 ms per token,     3.45 tokens per second)
2.53.041.895 I slot print_timing: id  2 | task 17 |       total time =  160619.81 ms /  2858 tokens
2.53.041.896 I slot print_timing: id  2 | task 17 |    graphs reused =        115
2.53.041.986 I slot      release: id  2 | task 17 | stop processing: n_tokens = 2857, truncated = 0
2.55.220.898 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
2.55.222.423 I slot launch_slot_: id  1 | task 124 | processing task, is_child = 0
4.30.863.587 I slot print_timing: id  1 | task 124 | prompt processing, n_tokens =   2048, progress = 0.61, t =  95.52 s / 21.44 tokens per second
6.07.366.035 I slot print_timing: id  1 | task 124 | n_decoded =    100, tg =   3.30 t/s, tg_3s =   3.30 t/s
