0.00.409.022 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.409.120 I srv          init: The UI is disabled
0.00.409.122 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.410.563 I srv    load_model: loading model 'second-state/llm-compiler-13b-GGUF:Q4_K_M'
0.03.863.194 W llama_context: n_ctx_seq (32768) > n_ctx_train (16384) -- possible training context overflow
0.08.857.529 W srv    load_model: the slot context (32768) exceeds the training context of the model (16384) - capping
0.11.914.875 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.11.916.376 I srv  llama_server: model loaded
0.11.916.383 I srv  llama_server: listening on http://127.0.0.1:8001
0.12.010.237 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.010.273 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.40.169.873 I slot print_timing: id  0 | task 1 | n_decoded =    100, tg =   4.37 t/s, tg_3s =   4.37 t/s
0.43.198.168 I slot print_timing: id  0 | task 1 | n_decoded =    113, tg =   4.36 t/s, tg_3s =   4.29 t/s
0.46.227.419 I slot print_timing: id  0 | task 1 | n_decoded =    126, tg =   4.36 t/s, tg_3s =   4.29 t/s
0.49.272.439 I slot print_timing: id  0 | task 1 | n_decoded =    139, tg =   4.35 t/s, tg_3s =   4.27 t/s
0.52.312.041 I slot print_timing: id  0 | task 1 | n_decoded =    152, tg =   4.34 t/s, tg_3s =   4.28 t/s
0.55.357.182 I slot print_timing: id  0 | task 1 | n_decoded =    165, tg =   4.34 t/s, tg_3s =   4.27 t/s
0.58.420.897 I slot print_timing: id  0 | task 1 | n_decoded =    178, tg =   4.33 t/s, tg_3s =   4.24 t/s
1.01.494.477 I slot print_timing: id  0 | task 1 | n_decoded =    191, tg =   4.32 t/s, tg_3s =   4.23 t/s
1.04.575.990 I slot print_timing: id  0 | task 1 | n_decoded =    204, tg =   4.32 t/s, tg_3s =   4.22 t/s
1.07.653.266 I slot print_timing: id  0 | task 1 | n_decoded =    217, tg =   4.31 t/s, tg_3s =   4.22 t/s
1.10.734.109 I slot print_timing: id  0 | task 1 | n_decoded =    230, tg =   4.30 t/s, tg_3s =   4.22 t/s
1.13.817.285 I slot print_timing: id  0 | task 1 | n_decoded =    243, tg =   4.30 t/s, tg_3s =   4.22 t/s
1.16.902.109 I slot print_timing: id  0 | task 1 | n_decoded =    256, tg =   4.30 t/s, tg_3s =   4.21 t/s
1.19.987.574 I slot print_timing: id  0 | task 1 | n_decoded =    269, tg =   4.29 t/s, tg_3s =   4.21 t/s
1.23.075.738 I slot print_timing: id  0 | task 1 | n_decoded =    282, tg =   4.29 t/s, tg_3s =   4.21 t/s
1.26.169.141 I slot print_timing: id  0 | task 1 | n_decoded =    295, tg =   4.28 t/s, tg_3s =   4.20 t/s
1.29.263.542 I slot print_timing: id  0 | task 1 | n_decoded =    308, tg =   4.28 t/s, tg_3s =   4.20 t/s
1.32.368.994 I slot print_timing: id  0 | task 1 | n_decoded =    321, tg =   4.28 t/s, tg_3s =   4.19 t/s
1.35.468.358 I slot print_timing: id  0 | task 1 | n_decoded =    334, tg =   4.27 t/s, tg_3s =   4.19 t/s
1.38.573.356 I slot print_timing: id  0 | task 1 | n_decoded =    347, tg =   4.27 t/s, tg_3s =   4.19 t/s
1.41.681.515 I slot print_timing: id  0 | task 1 | n_decoded =    360, tg =   4.27 t/s, tg_3s =   4.18 t/s
1.44.792.350 I slot print_timing: id  0 | task 1 | n_decoded =    373, tg =   4.26 t/s, tg_3s =   4.18 t/s
1.47.905.619 I slot print_timing: id  0 | task 1 | n_decoded =    386, tg =   4.26 t/s, tg_3s =   4.18 t/s
1.51.022.589 I slot print_timing: id  0 | task 1 | n_decoded =    399, tg =   4.26 t/s, tg_3s =   4.17 t/s
1.54.144.816 I slot print_timing: id  0 | task 1 | n_decoded =    412, tg =   4.25 t/s, tg_3s =   4.16 t/s
1.57.269.602 I slot print_timing: id  0 | task 1 | n_decoded =    425, tg =   4.25 t/s, tg_3s =   4.16 t/s
