0.00.356.147 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.356.278 I srv          init: The UI is disabled
0.00.356.280 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.357.724 I srv    load_model: loading model 'unsloth/Devstral-Small-2-24B-Instruct-2512-GGUF:Q4_K_M'
0.04.846.881 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
0.06.405.200 I srv    load_model: loaded multimodal model, '/home/tijl/.cache/huggingface/hub/models--unsloth--Devstral-Small-2-24B-Instruct-2512-GGUF/snapshots/6e458b8add42681bfd023de5eab93637694aaf82/mmproj-BF16.gguf'
0.07.419.191 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.07.421.733 I srv  llama_server: model loaded
0.07.421.739 I srv  llama_server: listening on http://127.0.0.1:8001
0.08.007.139 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.007.159 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.19.896.767 I slot print_timing: id  0 | task 1 | prompt eval time =    6232.32 ms /    46 tokens (  135.49 ms per token,     7.38 tokens per second)
0.19.896.773 I slot print_timing: id  0 | task 1 |        eval time =    5657.26 ms /    15 tokens (  377.15 ms per token,     2.65 tokens per second)
0.19.896.774 I slot print_timing: id  0 | task 1 |       total time =   11889.58 ms /    61 tokens
0.19.896.777 I slot print_timing: id  0 | task 1 |    graphs reused =          0
0.19.896.807 I slot      release: id  0 | task 1 | stop processing: n_tokens = 60, truncated = 0
0.19.926.892 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1764894869253
0.19.929.120 I slot launch_slot_: id  0 | task 17 | processing task, is_child = 0
2.21.261.153 I slot print_timing: id  0 | task 17 | n_decoded =    100, tg =   2.44 t/s, tg_3s =   2.44 t/s
2.24.560.229 I slot print_timing: id  0 | task 17 | n_decoded =    108, tg =   2.44 t/s, tg_3s =   2.42 t/s
2.27.862.806 I slot print_timing: id  0 | task 17 | n_decoded =    116, tg =   2.44 t/s, tg_3s =   2.42 t/s
2.31.162.075 I slot print_timing: id  0 | task 17 | n_decoded =    124, tg =   2.44 t/s, tg_3s =   2.42 t/s
2.34.465.704 I slot print_timing: id  0 | task 17 | n_decoded =    132, tg =   2.44 t/s, tg_3s =   2.42 t/s
2.37.765.855 I slot print_timing: id  0 | task 17 | n_decoded =    140, tg =   2.44 t/s, tg_3s =   2.42 t/s
2.41.071.590 I slot print_timing: id  0 | task 17 | n_decoded =    148, tg =   2.44 t/s, tg_3s =   2.42 t/s
2.44.370.683 I slot print_timing: id  0 | task 17 | n_decoded =    156, tg =   2.43 t/s, tg_3s =   2.42 t/s
2.47.669.474 I slot print_timing: id  0 | task 17 | n_decoded =    164, tg =   2.43 t/s, tg_3s =   2.43 t/s
