0.00.359.714 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.359.863 I srv          init: The UI is disabled
0.00.359.865 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.361.370 I srv    load_model: loading model 'mistralai/Ministral-3-14B-Instruct-2512-GGUF:Q4_K_M'
0.02.978.802 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
0.04.329.060 I srv    load_model: loaded multimodal model, '/home/tijl/.cache/huggingface/hub/models--mistralai--Ministral-3-14B-Instruct-2512-GGUF/snapshots/74fac473c43357d7fb2671713608183cc72496d0/Ministral-3-14B-Instruct-2512-BF16-mmproj.gguf'
0.05.138.792 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.05.140.637 I srv  llama_server: model loaded
0.05.140.644 I srv  llama_server: listening on http://127.0.0.1:8001
0.06.040.312 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.040.335 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.12.836.199 I slot print_timing: id  0 | task 1 | prompt eval time =    3114.21 ms /    46 tokens (   67.70 ms per token,    14.77 tokens per second)
0.12.836.204 I slot print_timing: id  0 | task 1 |        eval time =    3681.63 ms /    17 tokens (  216.57 ms per token,     4.62 tokens per second)
0.12.836.205 I slot print_timing: id  0 | task 1 |       total time =    6795.84 ms /    63 tokens
0.12.836.209 I slot print_timing: id  0 | task 1 |    graphs reused =          0
0.12.836.237 I slot      release: id  0 | task 1 | stop processing: n_tokens = 62, truncated = 0
0.12.866.549 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1757326251507
0.12.869.025 I slot launch_slot_: id  0 | task 19 | processing task, is_child = 0
1.18.640.473 I slot print_timing: id  0 | task 19 | n_decoded =    100, tg =   4.25 t/s, tg_3s =   4.25 t/s
1.21.739.460 I slot print_timing: id  0 | task 19 | n_decoded =    113, tg =   4.24 t/s, tg_3s =   4.19 t/s
1.24.837.534 I slot print_timing: id  0 | task 19 | n_decoded =    126, tg =   4.24 t/s, tg_3s =   4.20 t/s
1.27.935.169 I slot print_timing: id  0 | task 19 | n_decoded =    139, tg =   4.23 t/s, tg_3s =   4.20 t/s
1.31.036.183 I slot print_timing: id  0 | task 19 | n_decoded =    152, tg =   4.23 t/s, tg_3s =   4.19 t/s
1.34.135.203 I slot print_timing: id  0 | task 19 | n_decoded =    165, tg =   4.23 t/s, tg_3s =   4.19 t/s
1.37.233.180 I slot print_timing: id  0 | task 19 | n_decoded =    178, tg =   4.23 t/s, tg_3s =   4.20 t/s
1.40.337.932 I slot print_timing: id  0 | task 19 | n_decoded =    191, tg =   4.22 t/s, tg_3s =   4.19 t/s
1.43.438.549 I slot print_timing: id  0 | task 19 | n_decoded =    204, tg =   4.22 t/s, tg_3s =   4.19 t/s
1.46.539.283 I slot print_timing: id  0 | task 19 | n_decoded =    217, tg =   4.22 t/s, tg_3s =   4.19 t/s
1.49.639.795 I slot print_timing: id  0 | task 19 | n_decoded =    230, tg =   4.22 t/s, tg_3s =   4.19 t/s
1.52.740.764 I slot print_timing: id  0 | task 19 | n_decoded =    243, tg =   4.22 t/s, tg_3s =   4.19 t/s
1.55.841.911 I slot print_timing: id  0 | task 19 | n_decoded =    256, tg =   4.22 t/s, tg_3s =   4.19 t/s
1.58.944.877 I slot print_timing: id  0 | task 19 | n_decoded =    269, tg =   4.21 t/s, tg_3s =   4.19 t/s
2.02.046.126 I slot print_timing: id  0 | task 19 | n_decoded =    282, tg =   4.21 t/s, tg_3s =   4.19 t/s
2.05.147.655 I slot print_timing: id  0 | task 19 | n_decoded =    295, tg =   4.21 t/s, tg_3s =   4.19 t/s
2.08.264.488 I slot print_timing: id  0 | task 19 | n_decoded =    308, tg =   4.21 t/s, tg_3s =   4.17 t/s
2.11.385.542 I slot print_timing: id  0 | task 19 | n_decoded =    321, tg =   4.21 t/s, tg_3s =   4.17 t/s
2.14.507.259 I slot print_timing: id  0 | task 19 | n_decoded =    334, tg =   4.21 t/s, tg_3s =   4.16 t/s
2.17.628.835 I slot print_timing: id  0 | task 19 | n_decoded =    347, tg =   4.21 t/s, tg_3s =   4.16 t/s
2.20.753.815 I slot print_timing: id  0 | task 19 | n_decoded =    360, tg =   4.20 t/s, tg_3s =   4.16 t/s
2.23.877.154 I slot print_timing: id  0 | task 19 | n_decoded =    373, tg =   4.20 t/s, tg_3s =   4.16 t/s
2.26.999.669 I slot print_timing: id  0 | task 19 | n_decoded =    386, tg =   4.20 t/s, tg_3s =   4.16 t/s
2.30.127.380 I slot print_timing: id  0 | task 19 | n_decoded =    399, tg =   4.20 t/s, tg_3s =   4.16 t/s
2.33.253.894 I slot print_timing: id  0 | task 19 | n_decoded =    412, tg =   4.20 t/s, tg_3s =   4.16 t/s
2.36.378.982 I slot print_timing: id  0 | task 19 | n_decoded =    425, tg =   4.20 t/s, tg_3s =   4.16 t/s
2.39.504.455 I slot print_timing: id  0 | task 19 | n_decoded =    438, tg =   4.20 t/s, tg_3s =   4.16 t/s
2.42.637.153 I slot print_timing: id  0 | task 19 | n_decoded =    451, tg =   4.19 t/s, tg_3s =   4.15 t/s
2.45.764.033 I slot print_timing: id  0 | task 19 | n_decoded =    464, tg =   4.19 t/s, tg_3s =   4.16 t/s
2.48.891.348 I slot print_timing: id  0 | task 19 | n_decoded =    477, tg =   4.19 t/s, tg_3s =   4.16 t/s
2.52.016.284 I slot print_timing: id  0 | task 19 | n_decoded =    490, tg =   4.19 t/s, tg_3s =   4.16 t/s
2.55.143.894 I slot print_timing: id  0 | task 19 | n_decoded =    503, tg =   4.19 t/s, tg_3s =   4.16 t/s
2.58.270.489 I slot print_timing: id  0 | task 19 | n_decoded =    516, tg =   4.19 t/s, tg_3s =   4.16 t/s
3.01.400.743 I slot print_timing: id  0 | task 19 | n_decoded =    529, tg =   4.19 t/s, tg_3s =   4.15 t/s
3.04.530.626 I slot print_timing: id  0 | task 19 | n_decoded =    542, tg =   4.19 t/s, tg_3s =   4.15 t/s
