0.00.482.076 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.482.177 I srv          init: The UI is disabled
0.00.482.179 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.483.576 I srv    load_model: loading model 'Qwen/Qwen3-14B-GGUF:Q4_K_M'
0.00.725.966 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.05.779.277 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.05.788.266 I srv  llama_server: model loaded
0.05.788.272 I srv  llama_server: listening on http://127.0.0.1:8001
0.06.011.354 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.011.414 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.33.769.710 I slot print_timing: id  0 | task 1 | n_decoded =    100, tg =   4.02 t/s, tg_3s =   4.02 t/s
0.36.793.285 I slot print_timing: id  0 | task 1 | n_decoded =    112, tg =   4.02 t/s, tg_3s =   3.97 t/s
0.39.821.612 I slot print_timing: id  0 | task 1 | n_decoded =    124, tg =   4.01 t/s, tg_3s =   3.96 t/s
0.42.849.954 I slot print_timing: id  0 | task 1 | n_decoded =    136, tg =   4.01 t/s, tg_3s =   3.96 t/s
0.45.881.892 I slot print_timing: id  0 | task 1 | n_decoded =    148, tg =   4.00 t/s, tg_3s =   3.96 t/s
0.48.918.359 I slot print_timing: id  0 | task 1 | n_decoded =    160, tg =   4.00 t/s, tg_3s =   3.95 t/s
0.51.954.778 I slot print_timing: id  0 | task 1 | n_decoded =    172, tg =   4.00 t/s, tg_3s =   3.95 t/s
0.54.992.661 I slot print_timing: id  0 | task 1 | n_decoded =    184, tg =   3.99 t/s, tg_3s =   3.95 t/s
0.58.038.959 I slot print_timing: id  0 | task 1 | n_decoded =    196, tg =   3.99 t/s, tg_3s =   3.94 t/s
1.01.081.555 I slot print_timing: id  0 | task 1 | n_decoded =    208, tg =   3.99 t/s, tg_3s =   3.94 t/s
1.04.124.340 I slot print_timing: id  0 | task 1 | n_decoded =    220, tg =   3.99 t/s, tg_3s =   3.94 t/s
1.07.166.813 I slot print_timing: id  0 | task 1 | n_decoded =    232, tg =   3.98 t/s, tg_3s =   3.94 t/s
1.10.209.403 I slot print_timing: id  0 | task 1 | n_decoded =    244, tg =   3.98 t/s, tg_3s =   3.94 t/s
