0.00.327.580 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.327.707 I srv          init: The UI is disabled
0.00.327.710 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.58.014.342 I srv    load_model: loading model 'mistralai/Ministral-3-14B-Instruct-2512-GGUF:Q4_K_M'
1.01.926.599 W llama_context: setting new yarn_attn_factor = 1.0000 (mscale == 1.0, mscale_all_dim = 1.0)
1.03.310.781 I srv    load_model: loaded multimodal model, '/home/tijl/.cache/huggingface/hub/models--mistralai--Ministral-3-14B-Instruct-2512-GGUF/snapshots/74fac473c43357d7fb2671713608183cc72496d0/Ministral-3-14B-Instruct-2512-BF16-mmproj.gguf'
1.04.122.994 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
1.04.124.827 I srv  llama_server: model loaded
1.04.124.834 I srv  llama_server: listening on http://127.0.0.1:8001
1.05.041.855 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.05.041.889 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.11.769.312 I slot print_timing: id  0 | task 1 | prompt eval time =    3049.32 ms /    46 tokens (   66.29 ms per token,    15.09 tokens per second)
1.11.769.318 I slot print_timing: id  0 | task 1 |        eval time =    3678.07 ms /    17 tokens (  216.36 ms per token,     4.62 tokens per second)
1.11.769.318 I slot print_timing: id  0 | task 1 |       total time =    6727.39 ms /    63 tokens
1.11.769.321 I slot print_timing: id  0 | task 1 |    graphs reused =          0
1.11.769.350 I slot      release: id  0 | task 1 | stop processing: n_tokens = 62, truncated = 0
1.13.849.678 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1578840825759
1.13.851.951 I slot launch_slot_: id  0 | task 19 | processing task, is_child = 0
1.54.869.023 I slot print_timing: id  0 | task 19 | prompt eval time =   21971.38 ms /   538 tokens (   40.84 ms per token,    24.49 tokens per second)
1.54.869.028 I slot print_timing: id  0 | task 19 |        eval time =   19045.67 ms /    82 tokens (  232.26 ms per token,     4.31 tokens per second)
1.54.869.028 I slot print_timing: id  0 | task 19 |       total time =   41017.05 ms /   620 tokens
1.54.869.029 I slot print_timing: id  0 | task 19 |    graphs reused =          0
1.54.869.073 I slot      release: id  0 | task 19 | stop processing: n_tokens = 640, truncated = 0
3.32.477.418 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1578883925482
3.32.500.016 I slot launch_slot_: id  0 | task 102 | processing task, is_child = 0
4.21.981.571 I slot print_timing: id  0 | task 102 | n_decoded =    100, tg =   4.29 t/s, tg_3s =   4.29 t/s
4.25.041.718 I slot print_timing: id  0 | task 102 | n_decoded =    113, tg =   4.29 t/s, tg_3s =   4.25 t/s
4.28.096.407 I slot print_timing: id  0 | task 102 | n_decoded =    126, tg =   4.29 t/s, tg_3s =   4.26 t/s
4.31.161.712 I slot print_timing: id  0 | task 102 | n_decoded =    139, tg =   4.28 t/s, tg_3s =   4.24 t/s
4.34.234.985 I slot print_timing: id  0 | task 102 | n_decoded =    152, tg =   4.28 t/s, tg_3s =   4.23 t/s
4.37.309.996 I slot print_timing: id  0 | task 102 | n_decoded =    165, tg =   4.27 t/s, tg_3s =   4.23 t/s
4.40.383.264 I slot print_timing: id  0 | task 102 | n_decoded =    178, tg =   4.27 t/s, tg_3s =   4.23 t/s
4.43.460.291 I slot print_timing: id  0 | task 102 | n_decoded =    191, tg =   4.27 t/s, tg_3s =   4.22 t/s
4.46.534.993 I slot print_timing: id  0 | task 102 | n_decoded =    204, tg =   4.26 t/s, tg_3s =   4.23 t/s
4.49.610.110 I slot print_timing: id  0 | task 102 | n_decoded =    217, tg =   4.26 t/s, tg_3s =   4.23 t/s
4.52.694.260 I slot print_timing: id  0 | task 102 | n_decoded =    230, tg =   4.26 t/s, tg_3s =   4.22 t/s
4.55.773.149 I slot print_timing: id  0 | task 102 | n_decoded =    243, tg =   4.26 t/s, tg_3s =   4.22 t/s
4.58.853.287 I slot print_timing: id  0 | task 102 | n_decoded =    256, tg =   4.26 t/s, tg_3s =   4.22 t/s
5.01.931.859 I slot print_timing: id  0 | task 102 | n_decoded =    269, tg =   4.25 t/s, tg_3s =   4.22 t/s
5.05.009.712 I slot print_timing: id  0 | task 102 | n_decoded =    282, tg =   4.25 t/s, tg_3s =   4.22 t/s
5.08.089.878 I slot print_timing: id  0 | task 102 | n_decoded =    295, tg =   4.25 t/s, tg_3s =   4.22 t/s
5.11.168.438 I slot print_timing: id  0 | task 102 | n_decoded =    308, tg =   4.25 t/s, tg_3s =   4.22 t/s
5.14.250.145 I slot print_timing: id  0 | task 102 | n_decoded =    321, tg =   4.25 t/s, tg_3s =   4.22 t/s
5.17.330.423 I slot print_timing: id  0 | task 102 | n_decoded =    334, tg =   4.25 t/s, tg_3s =   4.22 t/s
5.20.410.016 I slot print_timing: id  0 | task 102 | n_decoded =    347, tg =   4.25 t/s, tg_3s =   4.22 t/s
5.20.883.868 I slot print_timing: id  0 | task 102 | prompt eval time =   26197.45 ms /   599 tokens (   43.74 ms per token,    22.86 tokens per second)
5.20.883.873 I slot print_timing: id  0 | task 102 |        eval time =   82186.37 ms /   349 tokens (  235.49 ms per token,     4.25 tokens per second)
5.20.883.874 I slot print_timing: id  0 | task 102 |       total time =  108383.82 ms /   948 tokens
5.20.883.875 I slot print_timing: id  0 | task 102 |    graphs reused =          0
5.20.883.921 I slot      release: id  0 | task 102 | stop processing: n_tokens = 986, truncated = 0
6.56.079.925 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1579089940330
6.56.115.747 I slot launch_slot_: id  0 | task 452 | processing task, is_child = 0
7.49.329.227 I slot print_timing: id  0 | task 452 | n_decoded =    100, tg =   4.27 t/s, tg_3s =   4.27 t/s
7.52.415.831 I slot print_timing: id  0 | task 452 | n_decoded =    113, tg =   4.27 t/s, tg_3s =   4.21 t/s
7.55.493.070 I slot print_timing: id  0 | task 452 | n_decoded =    126, tg =   4.26 t/s, tg_3s =   4.22 t/s
7.58.570.397 I slot print_timing: id  0 | task 452 | n_decoded =    139, tg =   4.26 t/s, tg_3s =   4.22 t/s
8.01.651.623 I slot print_timing: id  0 | task 452 | n_decoded =    152, tg =   4.26 t/s, tg_3s =   4.22 t/s
8.04.731.054 I slot print_timing: id  0 | task 452 | n_decoded =    165, tg =   4.25 t/s, tg_3s =   4.22 t/s
8.07.810.057 I slot print_timing: id  0 | task 452 | n_decoded =    178, tg =   4.25 t/s, tg_3s =   4.22 t/s
8.10.888.945 I slot print_timing: id  0 | task 452 | n_decoded =    191, tg =   4.25 t/s, tg_3s =   4.22 t/s
8.13.970.750 I slot print_timing: id  0 | task 452 | n_decoded =    204, tg =   4.25 t/s, tg_3s =   4.22 t/s
8.17.052.390 I slot print_timing: id  0 | task 452 | n_decoded =    217, tg =   4.24 t/s, tg_3s =   4.22 t/s
8.20.134.644 I slot print_timing: id  0 | task 452 | n_decoded =    230, tg =   4.24 t/s, tg_3s =   4.22 t/s
8.22.506.809 I slot print_timing: id  0 | task 452 | prompt eval time =   29817.47 ms /   698 tokens (   42.72 ms per token,    23.41 tokens per second)
8.22.506.814 I slot print_timing: id  0 | task 452 |        eval time =   56573.56 ms /   240 tokens (  235.72 ms per token,     4.24 tokens per second)
8.22.506.815 I slot print_timing: id  0 | task 452 |       total time =   86391.03 ms /   938 tokens
8.22.506.816 I slot print_timing: id  0 | task 452 |    graphs reused =          0
8.22.506.864 I slot      release: id  0 | task 452 | stop processing: n_tokens = 976, truncated = 0
17.08.442.643 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1579271563273
17.08.477.284 I slot launch_slot_: id  0 | task 693 | processing task, is_child = 0
